,State,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014",Economic_typology_2015,POP_ESTIMATE_2014,R_birth_2014,R_death_2014,R_INTERNATIONAL_MIG_2014,R_DOMESTIC_MIG_2014,Civilian_labor_force_2014,Unemployment_rate_2014,Median_Household_Income_2014,PCTPOVALL_2014
2747,TX,4.0,3.0,0.17800000000000002,0.092,0.07400000000000001,0.235,0.14,0.10800000000000001,0.268,0.22699999999999998,0.11800000000000001,0.293,0.261,0.14300000000000002,0.34655618461999926,0.2725432117280942,0.13775261520003,0.0,41197,0.012737153671,0.0092435343782,0.0007278373526,-0.004609636567,21572.0,0.047,44110.0,0.168
2256,PA,3.0,2.0,0.331,0.063,0.069,0.4,0.083,0.10300000000000001,0.42700000000000005,0.14300000000000002,0.124,0.449,0.192,0.14800000000000002,0.43268454052390654,0.23419048351732893,0.1914451667500096,0.0,152951,0.012289763119000001,0.0094975289383,0.0016124169212000002,0.0007668812186,76461.0,0.055,50434.0,0.11900000000000001
2134,OK,2.0,2.0,0.281,0.065,0.05,0.386,0.111,0.087,0.376,0.207,0.106,0.4,0.259,0.11699999999999999,0.39547180896825224,0.30757286442705156,0.14988354281637536,0.0,70657,0.012108695345,0.012363317443,0.0003112047869,-0.0010184883929999998,30958.0,0.05,46614.0,0.158
674,IL,6.0,6.0,0.365,0.10800000000000001,0.092,0.39799999999999996,0.128,0.127,0.392,0.226,0.145,0.395,0.26899999999999996,0.158,0.3635652853792026,0.3170011293545305,0.20467379028755103,3.0,17801,0.013161239303,0.010788827068,0.0018075521788999997,0.0034456463411000004,8758.0,0.057999999999999996,44180.0,0.135
9,AL,6.0,6.0,0.214,0.05,0.038,0.281,0.08800000000000001,0.063,0.316,0.152,0.067,0.349,0.18899999999999997,0.09699999999999999,0.3587684781452728,0.2988407954908008,0.13734978198447303,0.0,25995,0.010023233933,0.012634651202999999,0.0003072255612,-7.680639e-05,11388.0,0.057999999999999996,38013.0,0.18600000000000003
1735,NV,4.0,3.0,0.431,0.16399999999999998,0.107,0.39299999999999996,0.28600000000000003,0.172,0.307,0.366,0.2,0.266,0.418,0.23199999999999998,0.2593110933394265,0.41434365360447845,0.25608362847023874,5.0,47519,0.007612925055,0.010214007782000002,0.000507528337,0.011165623414,22494.0,0.08,60322.0,0.10300000000000001
545,ID,6.0,5.0,0.33399999999999996,0.106,0.061,0.41,0.18899999999999997,0.121,0.358,0.273,0.152,0.335,0.35200000000000004,0.16899999999999998,0.3081149902834551,0.3914762447229109,0.2167124572807076,5.0,41533,0.0099503697937,0.009512456208599999,0.0003649279875,0.018659984430000002,18265.0,0.071,45193.0,0.162
2328,SC,2.0,2.0,0.21899999999999997,0.081,0.10300000000000001,0.29,0.10400000000000001,0.121,0.361,0.193,0.125,0.355,0.237,0.163,0.3424460770462466,0.2991428840538759,0.1998916831496656,0.0,63147,0.011183226751,0.009512901275800002,0.0007158537748999999,0.0071903534727,28348.0,0.064,45411.0,0.174
402,GA,3.0,2.0,0.21600000000000003,0.11900000000000001,0.278,0.2,0.124,0.35,0.226,0.16899999999999998,0.375,0.21600000000000003,0.196,0.39799999999999996,0.2211413239608994,0.24055042128881424,0.3934225597414213,4.0,120814,0.011292289250999999,0.0061834790336,0.0040424080848,-0.01200322401,56224.0,0.069,31487.0,0.37799999999999995
2852,VA,6.0,4.0,0.247,0.086,0.138,0.325,0.115,0.192,0.311,0.215,0.204,0.324,0.244,0.23600000000000002,0.29441400591976824,0.3117324768562252,0.31777819761949744,4.0,25331,0.012175470009000001,0.0056898438277,0.0007957823535,0.008236347359,12125.0,0.054000000000000006,76206.0,0.075
148,AR,7.0,9.0,0.21899999999999997,0.046,0.040999999999999995,0.33899999999999997,0.07400000000000001,0.067,0.36200000000000004,0.145,0.098,0.392,0.191,0.107,0.3992022602625893,0.2782117334219711,0.14209739072627556,3.0,8703,0.010176662283,0.010291006803,0.0,-0.009147561602999999,3648.0,0.061,30935.0,0.251
1114,LA,2.0,2.0,0.207,0.048,0.064,0.292,0.087,0.084,0.381,0.16399999999999998,0.095,0.406,0.19399999999999998,0.102,0.4009629752614976,0.27168077923515416,0.12031656428136588,2.0,27011,0.012697355025999998,0.010069039554,0.0001850926389,-0.002406204305,11166.0,0.08199999999999999,40642.0,0.235
2163,OK,6.0,6.0,0.20800000000000002,0.092,0.063,0.335,0.105,0.081,0.28800000000000003,0.221,0.09699999999999999,0.34299999999999997,0.253,0.114,0.3520804755372657,0.3102880658436214,0.1417466849565615,3.0,16083,0.010487873396,0.010800012485999998,0.0005618503604999999,0.0083028997721,6930.0,0.048,38517.0,0.18
2892,VA,5.0,8.0,0.171,0.076,0.040999999999999995,0.257,0.106,0.076,0.284,0.198,0.091,0.325,0.24,0.11,0.35432651655131364,0.3011806708214588,0.12808869124048733,0.0,43436,0.010099740651,0.013732905275,0.0002742011037,-0.01096804415,17172.0,0.08199999999999999,38292.0,0.192
159,AR,7.0,9.0,0.179,0.042,0.026000000000000002,0.289,0.07,0.063,0.342,0.12300000000000001,0.079,0.384,0.203,0.106,0.38135455579015753,0.29040116940068217,0.14446970927399708,0.0,17550,0.010860294535999999,0.012622960140999999,-0.000170580542,-0.001648945244,6491.0,0.08,37761.0,0.183
2172,OK,2.0,2.0,0.307,0.09,0.067,0.38299999999999995,0.145,0.10800000000000001,0.358,0.242,0.131,0.364,0.292,0.146,0.41554545454545455,0.2949090909090909,0.16184848484848482,2.0,48075,0.009246051165599999,0.0098291354734,0.0004997865495,0.0029570704178,20961.0,0.051,48014.0,0.166
1761,NJ,1.0,1.0,0.335,0.11,0.156,0.353,0.146,0.23800000000000002,0.29100000000000004,0.20800000000000002,0.317,0.262,0.221,0.382,0.2496859680779388,0.20399296816312623,0.46138607727276254,0.0,932836,0.009911140754799999,0.0074390033995,0.00712272473,-0.002428030466,480108.0,0.054000000000000006,84309.0,0.076
